 &plot nbnd=  13, nks=    99 /
            1.000000  0.000000  0.500000
  -75.424  -38.933  -38.933  -38.894   10.995   11.565   11.565   12.791   13.716   22.259
   22.259   23.178   24.421
            0.975000  0.025000  0.500000
  -75.424  -38.933  -38.932  -38.894   11.000   11.557   11.572   12.791   13.708   22.108
   22.152   23.367   24.536
            0.950000  0.050000  0.500000
  -75.424  -38.935  -38.931  -38.893   11.015   11.532   11.591   12.790   13.683   21.820
   21.882   23.767   24.833
            0.925000  0.075000  0.500000
  -75.424  -38.937  -38.929  -38.891   11.039   11.493   11.624   12.786   13.645   21.523
   21.525   24.250   25.232
            0.900000  0.100000  0.500000
  -75.425  -38.940  -38.926  -38.888   11.073   11.440   11.671   12.774   13.599   21.131
   21.247   24.781   25.686
            0.875000  0.125000  0.500000
  -75.425  -38.943  -38.922  -38.886   11.115   11.375   11.731   12.749   13.551   20.721
   21.001   25.348   26.173
            0.850000  0.150000  0.500000
  -75.425  -38.947  -38.918  -38.883   11.163   11.301   11.804   12.707   13.509   20.307
   20.786   25.944   26.679
            0.825000  0.175000  0.500000
  -75.425  -38.950  -38.913  -38.880   11.217   11.219   11.891   12.646   13.478   19.894
   20.602   26.566   27.199
            0.800000  0.200000  0.500000
  -75.426  -38.954  -38.908  -38.878   11.132   11.276   11.992   12.568   13.460   19.488
   20.446   27.209   27.728
            0.775000  0.225000  0.500000
  -75.426  -38.957  -38.903  -38.875   11.039   11.337   12.106   12.477   13.452   19.089
   20.315   27.870   28.260
            0.750000  0.250000  0.500000
  -75.426  -38.960  -38.897  -38.873   10.945   11.399   12.232   12.379   13.452   18.701
   20.206   28.544   28.793
            0.725000  0.275000  0.500000
  -75.427  -38.964  -38.891  -38.871   10.849   11.461   12.280   12.370   13.458   18.325
   20.117   29.229   29.321
            0.700000  0.300000  0.500000
  -75.427  -38.966  -38.886  -38.869   10.756   11.521   12.185   12.518   13.467   17.964
   20.045   29.836   29.918
            0.675000  0.325000  0.500000
  -75.428  -38.969  -38.881  -38.867   10.665   11.578   12.097   12.674   13.477   17.619
   19.987   30.329   30.607
            0.650000  0.350000  0.500000
  -75.428  -38.972  -38.876  -38.866   10.581   11.631   12.018   12.835   13.488   17.294
   19.941   30.783   31.288
            0.625000  0.375000  0.500000
  -75.428  -38.974  -38.872  -38.864   10.506   11.678   11.950   12.997   13.497   16.994
   19.906   31.176   31.949
            0.600000  0.400000  0.500000
  -75.428  -38.975  -38.868  -38.863   10.441   11.718   11.894   13.154   13.506   16.723
   19.879   31.480   32.576
            0.575000  0.425000  0.500000
  -75.429  -38.977  -38.865  -38.862   10.388   11.751   11.850   13.297   13.512   16.492
   19.859   31.681   33.144
            0.550000  0.450000  0.500000
  -75.429  -38.978  -38.863  -38.862   10.349   11.774   11.819   13.415   13.517   16.312
   19.845   31.790   33.614
            0.525000  0.475000  0.500000
  -75.429  -38.978  -38.862  -38.861   10.326   11.789   11.800   13.494   13.521   16.195
   19.838   31.838   33.934
            0.500000  0.500000  0.500000
  -75.429  -38.978  -38.861  -38.861   10.318   11.794   11.794   13.522   13.522   16.155
   19.835   31.851   34.050
            0.480000  0.480000  0.480000
  -75.429  -38.978  -38.861  -38.861   10.320   11.796   11.796   13.516   13.516   16.060
   19.950   31.862   34.066
            0.460000  0.460000  0.460000
  -75.429  -38.976  -38.861  -38.861   10.327   11.802   11.802   13.498   13.498   15.807
   20.265   31.895   34.113
            0.440000  0.440000  0.440000
  -75.429  -38.974  -38.860  -38.860   10.338   11.812   11.812   13.469   13.469   15.453
   20.720   31.949   34.189
            0.420000  0.420000  0.420000
  -75.430  -38.970  -38.860  -38.860   10.354   11.827   11.827   13.430   13.430   15.048
   21.268   32.024   34.294
            0.400000  0.400000  0.400000
  -75.430  -38.965  -38.859  -38.859   10.371   11.844   11.844   13.382   13.382   14.624
   21.878   32.118   34.422
            0.380000  0.380000  0.380000
  -75.431  -38.960  -38.858  -38.858   10.390   11.864   11.864   13.326   13.326   14.198
   22.530   32.230   34.571
            0.360000  0.360000  0.360000
  -75.431  -38.954  -38.857  -38.857   10.409   11.887   11.887   13.263   13.263   13.783
   23.215   32.357   34.735
            0.340000  0.340000  0.340000
  -75.432  -38.947  -38.856  -38.856   10.424   11.910   11.910   13.196   13.196   13.388
   23.924   32.497   34.909
            0.320000  0.320000  0.320000
